                Time | A B SUM |  Win Lose| Game 
        450500520 ns | 1 6   7 |    1    0|      
       1050500520 ns | 1 5   6 |    0    0| NEW  
       1550500520 ns | 1 4   5 |    0    0|      
       2050500520 ns | 1 3   4 |    0    0|      
       2550500520 ns | 2 2   4 |    1    0|      
       3150500520 ns | 2 1   3 |    0    1| NEW  
       3750500520 ns | 2 0   2 |    0    1| NEW  
       4350500520 ns | 2 6   8 |    0    0| NEW  
       4850500520 ns | 2 5   7 |    0    1|      
       5450500520 ns | 2 4   6 |    0    0| NEW  
